what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1428704173934
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1428704173934
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1428704173934
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1428704173950
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1428704173950
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1428704173950
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1428704173950
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1428704173950
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1428704173981
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1428704173981
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1428704173997
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1428704173997
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1428704173997
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1428704173997
os,sysinfo,,,"win32",1428704173997
arch,sysinfo,,,"x86",1428704173997
ws,sysinfo,,,"win32",1428704173997
locale,sysinfo,,,"en_CA",1428704173997
processors,sysinfo,,,"8",1428704173997
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1428704173997
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1428704173997
java.specification.name,sysinfo,,,"Java Platform API Specification",1428704173997
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1428704173997
java.specification.version,sysinfo,,,"1.6",1428704173997
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1428704173997
java.version,sysinfo,,,"1.6.0_23",1428704173997
java.vm.info,sysinfo,,,"mixed mode",1428704173997
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1428704173997
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1428704173997
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1428704173997
java.vm.specification.version,sysinfo,,,"1.0",1428704173997
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1428704173997
java.vm.version,sysinfo,,,"19.0-b09",1428704173997
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1428704174013
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1428704174044
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1428704174122
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1428704174169
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1428704174904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428704174951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428704175091
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1428704176108
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1428704177499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428704177531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428704179594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428704188006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428704244433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428704244589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428704245590
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1428704245684
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428704245778
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1428704245997
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1428704246434
